ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
56285732,10  Antigüedad,230,m²,100,m²,19.3818514,-99.2420156,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56285732.html
56257320,15  Antigüedad,0,,90,m²,19.4853235,-99.2095146,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56257320.html
60991113,2   Recámaras,44,m²,44,m²,19.4676218,-99.1753597,https://www.inmuebles24.com/propiedades/un-lugar-ideal-para-la-seguridad-de-tu-familia-muy-60991113.html
60990883,2   Recámaras,48,m²,48,m²,19.459739,-99.1814903,https://www.inmuebles24.com/propiedades/disfruta-con-tu-familia-en-espacios-seguros-y-60990883.html
60990729,2   Recámaras,49,m²,49,m²,19.4837894,-99.1868569,https://www.inmuebles24.com/propiedades/invierte-en-tu-hogar-a-15-min-de-polanco-60990729.html
60990106,2   Recámaras,67,m²,67,m²,19.4545482,-99.1567704,https://www.inmuebles24.com/propiedades/vive-en-tu-propio-espacio-libre-de-riesgos-cipres-60990106.html
60989909,2   Recámaras,107,m²,107,m²,19.4532294,-99.1562314,https://www.inmuebles24.com/propiedades/invierte-en-santa-ma-la-rivera-una-colonia-con-alto-60989909.html
60989702,2   Recámaras,57,m²,57,m²,19.4062671,-99.1445752,https://www.inmuebles24.com/propiedades/invierte-en-la-mejor-zona-cerca-del-centro-historico-60989702.html
57929839,3  Antigüedad,85,m²,85,m²,19.3001315,-99.1120962,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-be-grand-coapa-57929839.html
60402386,42  Antigüedad,0,,230,m²,19.3803091,-99.1687176,https://www.inmuebles24.com/propiedades/pent-house-en-venta-en-del-valle-para-remodelar-60402386.html
60598106,4  Antigüedad,340,m²,190,m²,19.3871107,-99.164155,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-del-valle-60598106.html
60932328,10  Antigüedad,58,m²,58,m²,19.3869069,-99.1939849,https://www.inmuebles24.com/propiedades/departamento-en-venta-parque-san-antonio-60932328.html
60917978,A estrenar,60,m²,0,,19.3969966,-99.1544078,https://www.inmuebles24.com/propiedades/departamento-benito-juarez-60917978.html
59593570,6  Antigüedad,58,m²,58,m²,19.3574131,-99.2881815,https://www.inmuebles24.com/propiedades/excelente-departamento-con-roof-garden-privado-en-59593570.html
59327122,3   Recámaras,100,m²,100,m²,19.4914887,-99.1496782,https://www.inmuebles24.com/propiedades/depa-100-m-sup2--con-3-recamaras-a-5-min-de-via-59327122.html
60877821,A estrenar,808,m²,548,m²,19.4389224,-99.2022632,https://www.inmuebles24.com/propiedades/penthouse-con-acabados-de-lujo-en-polanco-cdmx-60877821.html
60893286,6  Antigüedad,128,m²,87,m²,19.361125,-99.1456859,https://www.inmuebles24.com/propiedades/departamento-venta-balboa-portales-con-roofgarden-60893286.html
60872224,32  Antigüedad,78,m²,0,,19.4599251,-99.1537671,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicado-en-santa-maria-60872224.html
60862462,5  Antigüedad,75,m²,75,m²,19.468983,-99.1595607,https://www.inmuebles24.com/propiedades/excelente-departamento-en-venta-75-m-sup2--en-colonia-60862462.html
60839518,14  Antigüedad,44,m²,44,m²,19.4554992,-99.1355801,https://www.inmuebles24.com/propiedades/venta-de-bonito-departamento-recien-remodelado-bien-60839518.html
60828409,2   Recámaras,114,m²,114,m²,19.4047911,-99.1718446,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-hipodromo-cuauhtemoc-60828409.html
