Nombre de Publicación,Estado,Ciudad,Colonia,Avenida,Tipo de propiedad,Tipo de Operación,Condición del Inmueble,Precio,Precio por m2,Moneda,Número de recámaras,Número de baños completos,Número de m2,Unidad de medida,Link de la publicación,Foto de publicación,Real State Agency?,Latitud,Longitud,ID
Departamento En Venta En Colonia Del Valle Del Norte ,Distrito Federal,Benito Juárez,,,Departamento,Venta,Nuevo,2800000,25454.545454545456,MXN,3,2,110.0,m²,https://departamento.mercadolibre.com.mx/MLM-826419381-departamento-en-venta-en-colonia-del-valle-del-norte-_JM,http://mlm-s2-p.mlstatic.com/896333-MLM43696493263_102020-I.jpg,True,19.379406,-99.15914,MLM826419381
Tg Venta De Departamento En La Colonia Del Valle Norte,Distrito Federal,Benito Juárez,Del Valle Norte,ROMERO DE TERREROS  25,Departamento,Venta,Usado,2256450,25071.666666666668,MXN,2,2,90.0,m²,https://departamento.mercadolibre.com.mx/MLM-803804259-tg-venta-de-departamento-en-la-colonia-del-valle-norte-_JM,http://mlm-s2-p.mlstatic.com/832667-MLM43122541633_082020-I.jpg,True,19.39578,-99.1684,MLM803804259
"Depto. En Venta Remate Bancario En Col. Del Valle Centro, Benito Juárez",Distrito Federal,Benito Juárez,Colonia Del Valle,Cerrada Matías Romero,Departamento,Venta,Usado,2400000,25000.0,MXN,3,2,96.0,m²,https://departamento.mercadolibre.com.mx/MLM-892647671-depto-en-venta-remate-bancario-en-col-del-valle-centro-benito-juarez-_JM,http://http2.mlstatic.com/D_843659-MLM45244416742_032021-I.jpg,True,19.38004,-99.170074,MLM892647671
Hermosa Casa En Condominio En La Colonia Del Valle,Distrito Federal,Benito Juárez,Del Valle Sur,Peten,Casa,Venta,Nuevo,6300000,24609.375,MXN,4,2,256.0,m²,https://casa.mercadolibre.com.mx/MLM-850969375-hermosa-casa-en-condominio-en-la-colonia-del-valle-_JM,http://mlm-s2-p.mlstatic.com/961346-MLM44342006294_122020-I.jpg,True,19.388718,-99.152985,MLM850969375
"Departamento En Venta En Colonia Del Valle, Cuarto De Servicio Integrado Con Baño Propio. ¡baja De Precio!",Distrito Federal,Benito Juárez,Del Valle Norte,Adolfo Prieto 125,Departamento,Venta,not specified,3995000,24509.20245398773,MXN,4,3,163.0,m²,https://departamento.mercadolibre.com.mx/MLM-874610399-departamento-en-venta-en-colonia-del-valle-cuarto-de-servicio-integrado-con-bano-propio-baja-de-precio-_JM,http://mlm-s2-p.mlstatic.com/787519-MLM44874183482_022021-I.jpg,True,19.398792,-99.1662,MLM874610399
"Departamento En Venta, Colonia Del Valle, Benito Juarez, Sby",Distrito Federal,Benito Juárez,Del Valle Centro,Luz Saviñón 508,Departamento,Venta,Usado,1837086,24494.48,MXN,2,1,75.0,m²,https://departamento.mercadolibre.com.mx/MLM-885988254-departamento-en-venta-colonia-del-valle-benito-juarez-sby-_JM,http://http2.mlstatic.com/D_789944-MLM45105824944_032021-I.jpg,True,19.393164,-99.16805,MLM885988254
En Venta Casa Por Tepepan Cerrada De Tehuixtle. Colonia Vall,Distrito Federal,Tlalpan,Valle Escondido,Tehuixtle,Casa,Venta,Usado,8990000,24297.297297297297,MXN,3,2,370.0,m²,https://casa.mercadolibre.com.mx/MLM-898761915-en-venta-casa-por-tepepan-cerrada-de-tehuixtle-colonia-vall-_JM,http://http2.mlstatic.com/D_844498-MLM45376655508_032021-I.jpg,True,19.277925,-99.14363,MLM898761915
En Venta Casa Por Tepepan Cerrada De Tehuixtle. Colonia Vall,Distrito Federal,Tlalpan,Valle Escondido,,Casa,Venta,Nuevo,8990000,24297.297297297297,MXN,3,2,370.0,m²,https://casa.mercadolibre.com.mx/MLM-833487164-en-venta-casa-por-tepepan-cerrada-de-tehuixtle-colonia-vall-_JM,http://mlm-s1-p.mlstatic.com/611049-MLM43942352905_102020-I.jpg,True,19.27904,-99.14216,MLM833487164
Jca- Departamento Remate Bancario Colonia Valle Gomez,Distrito Federal,Cuauhtémoc,Valle Gómez,Plomo 8,Departamento,Venta,not specified,1545000,23769.23076923077,MXN,3,1,65.0,m²,https://departamento.mercadolibre.com.mx/MLM-864859278-jca-departamento-remate-bancario-colonia-valle-gomez-_JM,http://mlm-s1-p.mlstatic.com/959541-MLM42577222932_072020-I.jpg,True,19.458162,-99.12696,MLM864859278
Jr Se Vende Departamento En Colonia Del Valle Gabriel Mancer,Distrito Federal,Benito Juárez,Colonia Del Valle,GABRIEL MANCERA 1439,Casa,Venta,Usado,1709662,23420.027397260274,MXN,2,1,73.0,m²,https://casa.mercadolibre.com.mx/MLM-875305664-jr-se-vende-departamento-en-colonia-del-valle-gabriel-mancer-_JM,http://mlm-s1-p.mlstatic.com/945080-MLM44899811095_022021-I.jpg,True,19.371983,-99.16789,MLM875305664
