Nombre de Publicación,Tipo de Inmueble,Estado,Ciudad,Colonia,Latitud,Longitud,Número de m2,Unidad de medida,Precio,Moneda,Link de la publicación
Departamento A Estrenar Roma Sur EscrituraciÃ³n IncluÃ­da,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40434,-99.15672,83,m²,"3,890,000",MXN,https://departamento.mercadolibre.com.mx/MLM-830996783-departamento-a-estrenar-roma-sur-escrituracion-incluida-_JM
Insurgentes Sur Roma Norte,Venta,Distrito Federal,Cuauhtémoc,,19.416042,-99.165146,34,m²,"2,787,300",MXN,https://departamento.mercadolibre.com.mx/MLM-830812032-insurgentes-sur-roma-norte-_JM
Departamento Venta  Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,350,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831624463-departamento-venta-roma-sur-_JM
Penthouse En Torreon / Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,138,m²,"6,500,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831110638-penthouse-en-torreon-roma-sur-_JM
Hermoso Departamento En Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.400845,-99.16912,60,m²,"3,380,000",MXN,https://casa.mercadolibre.com.mx/MLM-829892385-hermoso-departamento-en-roma-sur-_JM
Urge Depto. 150m2 En Roma Sur Junto Glorieta Insurgentes. Gc,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.418518,-99.16135,150,m²,"2,767,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831371538-urge-depto-150m2-en-roma-sur-junto-glorieta-insurgentes-gc-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,38,m²,"2,860,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831075959-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
"Hermoso Departamento Nuevo Con 2 Balcones En Roma Sur, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,91,m²,"5,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-830068542-hermoso-departamento-nuevo-con-2-balcones-en-roma-sur-cdmx-_JM
"Departamento En Venta - Roma Sur Cuauhtemoc ,53.2m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,53,m²,"3,590,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831117796-departamento-en-venta-roma-sur-cuauhtemoc-532m2-_JM
"Departamento En Venta - Roma Sur Cuauhtemoc ,51.43m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,51,m²,"3,270,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831121445-departamento-en-venta-roma-sur-cuauhtemoc-5143m2-_JM
Vendo Depto. Por Remate Bancario En La Roma !! As,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.419369,-99.17432,180,m²,"1,850,000",MXN,https://departamento.mercadolibre.com.mx/MLM-830155603-vendo-depto-por-remate-bancario-en-la-roma-as-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,87,m²,"4,610,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831069368-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,92,m²,"4,608,551",MXN,https://departamento.mercadolibre.com.mx/MLM-831013845-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,122,m²,"6,894,399",MXN,https://departamento.mercadolibre.com.mx/MLM-831017345-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,72,m²,"3,836,227",MXN,https://departamento.mercadolibre.com.mx/MLM-831013706-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
Medellin Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.411606,-99.16452,94,m²,"5,655,600",MXN,https://departamento.mercadolibre.com.mx/MLM-830842956-medellin-roma-sur-_JM
Hermosos Departamentos En Colonia Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,74,m²,"3,840,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831657378-hermosos-departamentos-en-colonia-roma-sur-_JM
"Departamento En Venta , Roma Sur ,112.7m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,112,m²,"6,384,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831119440-departamento-en-venta-roma-sur-1127m2-_JM
"Departamento En Venta , Roma Sur ,107.4m2, 1",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,107,m²,"6,079,500",MXN,https://departamento.mercadolibre.com.mx/MLM-831115892-departamento-en-venta-roma-sur-1074m2-1-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,264,m²,"10,105,450",MXN,https://departamento.mercadolibre.com.mx/MLM-831018563-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
Departamentos En Preventa  Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,74,m²,"3,840,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831657442-departamentos-en-preventa-roma-sur-_JM
Tg Venta De Departamento En La Colonia Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.401785,-99.1688,150,m²,"1,947,502",MXN,https://departamento.mercadolibre.com.mx/MLM-830113077-tg-venta-de-departamento-en-la-colonia-roma-sur-_JM
Jp1 Venta De Departamento En La Colonia Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.401785,-99.1688,150,m²,"1,947,502",MXN,https://departamento.mercadolibre.com.mx/MLM-830174039-jp1-venta-de-departamento-en-la-colonia-roma-sur-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,154,m²,"4,091,451",MXN,https://departamento.mercadolibre.com.mx/MLM-831071905-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
"Departamento En Venta , Roma Sur ,64.74m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,64,m²,"3,805,150",MXN,https://departamento.mercadolibre.com.mx/MLM-831119517-departamento-en-venta-roma-sur-6474m2-_JM
"Departamento En Venta , Roma Sur ,82.97m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,82,m²,"4,630,925",MXN,https://departamento.mercadolibre.com.mx/MLM-831115935-departamento-en-venta-roma-sur-8297m2-_JM
"Departamento En Venta , Roma Sur ,62.94m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,780,500",MXN,https://departamento.mercadolibre.com.mx/MLM-831119533-departamento-en-venta-roma-sur-6294m2-_JM
"Departamento En Venta , Roma Sur ,67.62m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"4,232,050",MXN,https://departamento.mercadolibre.com.mx/MLM-831122732-departamento-en-venta-roma-sur-6762m2-_JM
"Departamento En Venta , Roma Sur ,65.04m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,115,700",MXN,https://departamento.mercadolibre.com.mx/MLM-831115995-departamento-en-venta-roma-sur-6504m2-_JM
"Departamento En Venta , Roma Sur ,49.88m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,49,m²,"3,885,150",MXN,https://departamento.mercadolibre.com.mx/MLM-831119525-departamento-en-venta-roma-sur-4988m2-_JM
"Departamento En Venta , Roma Sur ,78.33m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,78,m²,"4,923,850",MXN,https://departamento.mercadolibre.com.mx/MLM-831115992-departamento-en-venta-roma-sur-7833m2-_JM
"Departamento En Venta , Roma Sur ,62.94m2, 4",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,700,500",MXN,https://departamento.mercadolibre.com.mx/MLM-831115986-departamento-en-venta-roma-sur-6294m2-4-_JM
"Departamento En Venta , Roma Sur ,75.7m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,75,m²,"4,752,900",MXN,https://departamento.mercadolibre.com.mx/MLM-831122727-departamento-en-venta-roma-sur-757m2-_JM
"Departamento En Venta , Roma Sur ,67.62m2, 4",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"4,212,050",MXN,https://departamento.mercadolibre.com.mx/MLM-831115982-departamento-en-venta-roma-sur-6762m2-4-_JM
"Departamento En Venta , Roma Sur ,65.04m2, 4",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,095,700",MXN,https://departamento.mercadolibre.com.mx/MLM-831119511-departamento-en-venta-roma-sur-6504m2-4-_JM
"Departamento En Venta , Roma Sur ,78.33m2, 3",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,78,m²,"4,903,850",MXN,https://departamento.mercadolibre.com.mx/MLM-831115978-departamento-en-venta-roma-sur-7833m2-3-_JM
"Departamento En Venta , Roma Sur ,75.7m2, 3",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,75,m²,"4,732,900",MXN,https://departamento.mercadolibre.com.mx/MLM-831115976-departamento-en-venta-roma-sur-757m2-3-_JM
"Departamento En Venta , Roma Sur ,67.62m2, 3",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"4,192,050",MXN,https://departamento.mercadolibre.com.mx/MLM-831115972-departamento-en-venta-roma-sur-6762m2-3-_JM
"Departamento En Venta , Roma Sur ,62.94m2, 3",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,680,500",MXN,https://departamento.mercadolibre.com.mx/MLM-831119505-departamento-en-venta-roma-sur-6294m2-3-_JM
"Departamento En Venta , Roma Sur ,64.74m2, 2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,64,m²,"3,785,150",MXN,https://departamento.mercadolibre.com.mx/MLM-831115975-departamento-en-venta-roma-sur-6474m2-2-_JM
"Departamento En Venta , Roma Sur ,78.33m2, 2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,78,m²,"4,883,850",MXN,https://departamento.mercadolibre.com.mx/MLM-831115968-departamento-en-venta-roma-sur-7833m2-2-_JM
"Departamento En Venta , Roma Sur ,65.04m2, 3",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,075,700",MXN,https://departamento.mercadolibre.com.mx/MLM-831119499-departamento-en-venta-roma-sur-6504m2-3-_JM
"Departamento En Venta , Roma Sur ,75.7m2, 2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,75,m²,"4,712,900",MXN,https://departamento.mercadolibre.com.mx/MLM-831122710-departamento-en-venta-roma-sur-757m2-2-_JM
"Departamento En Venta , Roma Sur ,62.94m2, 2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,660,500",MXN,https://departamento.mercadolibre.com.mx/MLM-831115964-departamento-en-venta-roma-sur-6294m2-2-_JM
"Departamento En Venta , Roma Sur ,64.74m2, 1",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,64,m²,"3,765,150",MXN,https://departamento.mercadolibre.com.mx/MLM-831122707-departamento-en-venta-roma-sur-6474m2-1-_JM
"Departamento En Venta , Roma Sur ,67.62m2, 2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"4,172,050",MXN,https://departamento.mercadolibre.com.mx/MLM-831115960-departamento-en-venta-roma-sur-6762m2-2-_JM
"Departamento En Venta , Roma Sur ,78.33m2, 1",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,78,m²,"4,863,850",MXN,https://departamento.mercadolibre.com.mx/MLM-831115954-departamento-en-venta-roma-sur-7833m2-1-_JM
"Departamento En Venta , Roma Sur ,65.04m2, 2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,055,700",MXN,https://departamento.mercadolibre.com.mx/MLM-831122698-departamento-en-venta-roma-sur-6504m2-2-_JM
"Departamento En Venta , Roma Sur ,62.94m2, 1",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,640,500",MXN,https://departamento.mercadolibre.com.mx/MLM-831119479-departamento-en-venta-roma-sur-6294m2-1-_JM
"Departamento En Venta , Roma Sur ,75.7m2, 1",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,75,m²,"4,692,900",MXN,https://departamento.mercadolibre.com.mx/MLM-831119484-departamento-en-venta-roma-sur-757m2-1-_JM
"Departamento En Venta , Roma Sur ,67.74m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"3,745,150",MXN,https://departamento.mercadolibre.com.mx/MLM-831115947-departamento-en-venta-roma-sur-6774m2-_JM
